"";"grad";"temp";"vrijeme"
"1";"Božava";14;2017-04-21 06:00:00
"2";"Crikvenica";11,5;2017-04-21 06:00:00
"3";"Dubrovnik";15,7;2017-04-21 06:00:00
"4";"Hvar";NA;2017-04-21 06:00:00
"5";"Komiža";NA;2017-04-21 06:00:00
"6";"Krk";NA;2017-04-21 06:00:00
"7";"Lastovo";NA;2017-04-21 06:00:00
"8";"Malinska";13;2017-04-21 06:00:00
"9";"Mali Lošinj";13,7;2017-04-21 06:00:00
"10";"Pula";NA;2017-04-21 06:00:00
"11";"Rab";NA;2017-04-21 06:00:00
"12";"Rovinj-Sv.Ivan n/p";NA;2017-04-21 06:00:00
"13";"Split";NA;2017-04-21 06:00:00
"14";"Šibenik";NA;2017-04-21 06:00:00
"15";"Zadar";14,1;2017-04-21 06:00:00
"16";"Božava";NA;2017-04-21 07:00:00
"17";"Crikvenica";12,1;2017-04-21 07:00:00
"18";"Dubrovnik";15,7;2017-04-21 07:00:00
"19";"Hvar";15;2017-04-21 07:00:00
"20";"Komiža";15;2017-04-21 07:00:00
"21";"Krk";12;2017-04-21 07:00:00
"22";"Lastovo";NA;2017-04-21 07:00:00
"23";"Malinska";13;2017-04-21 07:00:00
"24";"Mali Lošinj";13,8;2017-04-21 07:00:00
"25";"Pula";13;2017-04-21 07:00:00
"26";"Rab";14;2017-04-21 07:00:00
"27";"Rovinj-Sv.Ivan n/p";14;2017-04-21 07:00:00
"28";"Split";14;2017-04-21 07:00:00
"29";"Šibenik";15;2017-04-21 07:00:00
"30";"Zadar";14,1;2017-04-21 07:00:00
"31";"Božava";NA;2017-04-21 10:00:00
"32";"Crikvenica";11,9;2017-04-21 10:00:00
"33";"Dubrovnik";15,7;2017-04-21 10:00:00
"34";"Hvar";NA;2017-04-21 10:00:00
"35";"Komiža";NA;2017-04-21 10:00:00
"36";"Krk";NA;2017-04-21 10:00:00
"37";"Lastovo";NA;2017-04-21 10:00:00
"38";"Malinska";13,1;2017-04-21 10:00:00
"39";"Mali Lošinj";13,9;2017-04-21 10:00:00
"40";"Pula";NA;2017-04-21 10:00:00
"41";"Rab";NA;2017-04-21 10:00:00
"42";"Rovinj-Sv.Ivan n/p";NA;2017-04-21 10:00:00
"43";"Split";NA;2017-04-21 10:00:00
"44";"Šibenik";NA;2017-04-21 10:00:00
"45";"Zadar";14,3;2017-04-21 10:00:00
"46";"Božava";15;2017-04-21 13:00:00
"47";"Crikvenica";12,5;2017-04-21 13:00:00
"48";"Dubrovnik";15,7;2017-04-21 13:00:00
"49";"Hvar";16;2017-04-21 13:00:00
"50";"Komiža";15;2017-04-21 13:00:00
"51";"Krk";13;2017-04-21 13:00:00
"52";"Lastovo";NA;2017-04-21 13:00:00
"53";"Malinska";13,3;2017-04-21 13:00:00
"54";"Mali Lošinj";14,3;2017-04-21 13:00:00
"55";"Pula";NA;2017-04-21 13:00:00
"56";"Rab";NA;2017-04-21 13:00:00
"57";"Rovinj-Sv.Ivan n/p";NA;2017-04-21 13:00:00
"58";"Split";14;2017-04-21 13:00:00
"59";"Šibenik";NA;2017-04-21 13:00:00
"60";"Zadar";14,6;2017-04-21 13:00:00
"61";"Božava";NA;2017-04-21 14:00:00
"62";"Crikvenica";12,6;2017-04-21 14:00:00
"63";"Dubrovnik";15,8;2017-04-21 14:00:00
"64";"Hvar";NA;2017-04-21 14:00:00
"65";"Komiža";NA;2017-04-21 14:00:00
"66";"Krk";NA;2017-04-21 14:00:00
"67";"Lastovo";16;2017-04-21 14:00:00
"68";"Malinska";13,4;2017-04-21 14:00:00
"69";"Mali Lošinj";14,3;2017-04-21 14:00:00
"70";"Pula";NA;2017-04-21 14:00:00
"71";"Rab";NA;2017-04-21 14:00:00
"72";"Rovinj-Sv.Ivan n/p";NA;2017-04-21 14:00:00
"73";"Split";NA;2017-04-21 14:00:00
"74";"Šibenik";NA;2017-04-21 14:00:00
"75";"Zadar";14,6;2017-04-21 14:00:00
"76";"Božava";NA;2017-04-21 16:00:00
"77";"Crikvenica";12,9;2017-04-21 16:00:00
"78";"Dubrovnik";16;2017-04-21 16:00:00
"79";"Hvar";NA;2017-04-21 16:00:00
"80";"Komiža";NA;2017-04-21 16:00:00
"81";"Krk";NA;2017-04-21 16:00:00
"82";"Lastovo";NA;2017-04-21 16:00:00
"83";"Malinska";13,6;2017-04-21 16:00:00
"84";"Mali Lošinj";14,5;2017-04-21 16:00:00
"85";"Pula";NA;2017-04-21 16:00:00
"86";"Rab";NA;2017-04-21 16:00:00
"87";"Rovinj-Sv.Ivan n/p";NA;2017-04-21 16:00:00
"88";"Split";NA;2017-04-21 16:00:00
"89";"Šibenik";NA;2017-04-21 16:00:00
"90";"Zadar";14,6;2017-04-21 16:00:00
