"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";7;2017-07-10 06:00:00
"Božava";24;2017-07-10 06:00:00
"Crikvenica";26,8;2017-07-10 06:00:00
"Dubrovnik";23,6;2017-07-10 06:00:00
"Hvar";NA;2017-07-10 06:00:00
"Komiža";NA;2017-07-10 06:00:00
"Krk";NA;2017-07-10 06:00:00
"Malinska";26,3;2017-07-10 06:00:00
"Mali Lošinj";24,7;2017-07-10 06:00:00
"Mljet-otvoreno more";25,1;2017-07-10 06:00:00
"Mljet-Malo jezero";27,9;2017-07-10 06:00:00
"Pula";NA;2017-07-10 06:00:00
"Rab";NA;2017-07-10 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-10 06:00:00
"Split";NA;2017-07-10 06:00:00
"Šibenik";NA;2017-07-10 06:00:00
"Zadar";24,5;2017-07-10 06:00:00
"Postaja \ Termin mjerenja (h)";8;2017-07-10 07:00:00
"Božava";NA;2017-07-10 07:00:00
"Crikvenica";26,7;2017-07-10 07:00:00
"Dubrovnik";23,4;2017-07-10 07:00:00
"Hvar";24;2017-07-10 07:00:00
"Komiža";24;2017-07-10 07:00:00
"Krk";27;2017-07-10 07:00:00
"Malinska";26,3;2017-07-10 07:00:00
"Mali Lošinj";24,8;2017-07-10 07:00:00
"Mljet-otvoreno more";25,2;2017-07-10 07:00:00
"Mljet-Malo jezero";27,9;2017-07-10 07:00:00
"Pula";27;2017-07-10 07:00:00
"Rab";27;2017-07-10 07:00:00
"Rovinj-Sv.Ivan n/p";24;2017-07-10 07:00:00
"Split";25;2017-07-10 07:00:00
"Šibenik";25;2017-07-10 07:00:00
"Zadar";24,4;2017-07-10 07:00:00
"Postaja \ Termin mjerenja (h)";11;2017-07-10 10:00:00
"Božava";NA;2017-07-10 10:00:00
"Crikvenica";27,1;2017-07-10 10:00:00
"Dubrovnik";24,6;2017-07-10 10:00:00
"Hvar";NA;2017-07-10 10:00:00
"Komiža";NA;2017-07-10 10:00:00
"Krk";NA;2017-07-10 10:00:00
"Malinska";26,4;2017-07-10 10:00:00
"Mali Lošinj";24,9;2017-07-10 10:00:00
"Mljet-otvoreno more";25,4;2017-07-10 10:00:00
"Mljet-Malo jezero";28;2017-07-10 10:00:00
"Pula";NA;2017-07-10 10:00:00
"Rab";NA;2017-07-10 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-10 10:00:00
"Split";NA;2017-07-10 10:00:00
"Šibenik";NA;2017-07-10 10:00:00
"Zadar";24,8;2017-07-10 10:00:00
"Postaja \ Termin mjerenja (h)";14;2017-07-10 13:00:00
"Božava";25;2017-07-10 13:00:00
"Crikvenica";27,6;2017-07-10 13:00:00
"Dubrovnik";23,9;2017-07-10 13:00:00
"Hvar";24;2017-07-10 13:00:00
"Komiža";24;2017-07-10 13:00:00
"Krk";28;2017-07-10 13:00:00
"Malinska";26,4;2017-07-10 13:00:00
"Mali Lošinj";25,7;2017-07-10 13:00:00
"Mljet-otvoreno more";25,6;2017-07-10 13:00:00
"Mljet-Malo jezero";28,2;2017-07-10 13:00:00
"Pula";NA;2017-07-10 13:00:00
"Rab";27;2017-07-10 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-10 13:00:00
"Split";25;2017-07-10 13:00:00
"Šibenik";NA;2017-07-10 13:00:00
"Zadar";25,2;2017-07-10 13:00:00
"Postaja \ Termin mjerenja (h)";15;2017-07-10 14:00:00
"Božava";NA;2017-07-10 14:00:00
"Crikvenica";27,9;2017-07-10 14:00:00
"Dubrovnik";24,4;2017-07-10 14:00:00
"Hvar";NA;2017-07-10 14:00:00
"Komiža";NA;2017-07-10 14:00:00
"Krk";NA;2017-07-10 14:00:00
"Malinska";26,5;2017-07-10 14:00:00
"Mali Lošinj";25,9;2017-07-10 14:00:00
"Mljet-otvoreno more";25,7;2017-07-10 14:00:00
"Mljet-Malo jezero";28,2;2017-07-10 14:00:00
"Pula";NA;2017-07-10 14:00:00
"Rab";NA;2017-07-10 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-10 14:00:00
"Split";NA;2017-07-10 14:00:00
"Šibenik";NA;2017-07-10 14:00:00
"Zadar";25,2;2017-07-10 14:00:00
"Postaja \ Termin mjerenja (h)";17;2017-07-10 16:00:00
"Božava";NA;2017-07-10 16:00:00
"Crikvenica";28,1;2017-07-10 16:00:00
"Dubrovnik";24,1;2017-07-10 16:00:00
"Hvar";NA;2017-07-10 16:00:00
"Komiža";NA;2017-07-10 16:00:00
"Krk";NA;2017-07-10 16:00:00
"Malinska";27;2017-07-10 16:00:00
"Mali Lošinj";26,4;2017-07-10 16:00:00
"Mljet-otvoreno more";25,8;2017-07-10 16:00:00
"Mljet-Malo jezero";28,7;2017-07-10 16:00:00
"Pula";NA;2017-07-10 16:00:00
"Rab";NA;2017-07-10 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-10 16:00:00
"Split";NA;2017-07-10 16:00:00
"Šibenik";NA;2017-07-10 16:00:00
"Zadar";25,8;2017-07-10 16:00:00
