"";"grad";"temp";"vrijeme"
"1";"Božava";22;2017-06-08 06:00:00
"2";"Crikvenica";20;2017-06-08 06:00:00
"3";"Dubrovnik";23;2017-06-08 06:00:00
"4";"Hvar";NA;2017-06-08 06:00:00
"5";"Komiža";NA;2017-06-08 06:00:00
"6";"Krk";NA;2017-06-08 06:00:00
"7";"Malinska";20,4;2017-06-08 06:00:00
"8";"Mali Lošinj";18,3;2017-06-08 06:00:00
"9";"Poreč";NA;2017-06-08 06:00:00
"10";"Pula";NA;2017-06-08 06:00:00
"11";"Rab";NA;2017-06-08 06:00:00
"12";"Rovinj-Sv.Ivan n/p";NA;2017-06-08 06:00:00
"13";"Split";NA;2017-06-08 06:00:00
"14";"Šibenik";NA;2017-06-08 06:00:00
"15";"Zadar";20,7;2017-06-08 06:00:00
"16";"Božava";NA;2017-06-08 07:00:00
"17";"Crikvenica";20,4;2017-06-08 07:00:00
"18";"Dubrovnik";22,8;2017-06-08 07:00:00
"19";"Hvar";23;2017-06-08 07:00:00
"20";"Komiža";22;2017-06-08 07:00:00
"21";"Krk";21;2017-06-08 07:00:00
"22";"Malinska";20,4;2017-06-08 07:00:00
"23";"Mali Lošinj";18,4;2017-06-08 07:00:00
"24";"Poreč";NA;2017-06-08 07:00:00
"25";"Pula";23;2017-06-08 07:00:00
"26";"Rab";22;2017-06-08 07:00:00
"27";"Rovinj-Sv.Ivan n/p";23;2017-06-08 07:00:00
"28";"Split";23;2017-06-08 07:00:00
"29";"Šibenik";21;2017-06-08 07:00:00
"30";"Zadar";20,4;2017-06-08 07:00:00
"31";"Božava";NA;2017-06-08 10:00:00
"32";"Crikvenica";20,6;2017-06-08 10:00:00
"33";"Dubrovnik";22,6;2017-06-08 10:00:00
"34";"Hvar";NA;2017-06-08 10:00:00
"35";"Komiža";NA;2017-06-08 10:00:00
"36";"Krk";NA;2017-06-08 10:00:00
"37";"Malinska";20,2;2017-06-08 10:00:00
"38";"Mali Lošinj";19,4;2017-06-08 10:00:00
"39";"Poreč";NA;2017-06-08 10:00:00
"40";"Pula";NA;2017-06-08 10:00:00
"41";"Rab";NA;2017-06-08 10:00:00
"42";"Rovinj-Sv.Ivan n/p";NA;2017-06-08 10:00:00
"43";"Split";NA;2017-06-08 10:00:00
"44";"Šibenik";NA;2017-06-08 10:00:00
"45";"Zadar";20,3;2017-06-08 10:00:00
"46";"Božava";23;2017-06-08 13:00:00
"47";"Crikvenica";21,1;2017-06-08 13:00:00
"48";"Dubrovnik";23,1;2017-06-08 13:00:00
"49";"Hvar";23;2017-06-08 13:00:00
"50";"Komiža";22;2017-06-08 13:00:00
"51";"Krk";21;2017-06-08 13:00:00
"52";"Malinska";NA;2017-06-08 13:00:00
"53";"Mali Lošinj";20;2017-06-08 13:00:00
"54";"Poreč";23;2017-06-08 13:00:00
"55";"Pula";NA;2017-06-08 13:00:00
"56";"Rab";23;2017-06-08 13:00:00
"57";"Rovinj-Sv.Ivan n/p";NA;2017-06-08 13:00:00
"58";"Split";24;2017-06-08 13:00:00
"59";"Šibenik";NA;2017-06-08 13:00:00
"60";"Zadar";20,5;2017-06-08 13:00:00
"61";"Božava";NA;2017-06-08 14:00:00
"62";"Crikvenica";21,3;2017-06-08 14:00:00
"63";"Dubrovnik";23,1;2017-06-08 14:00:00
"64";"Hvar";NA;2017-06-08 14:00:00
"65";"Komiža";NA;2017-06-08 14:00:00
"66";"Krk";NA;2017-06-08 14:00:00
"67";"Malinska";20,7;2017-06-08 14:00:00
"68";"Mali Lošinj";20,4;2017-06-08 14:00:00
"69";"Poreč";NA;2017-06-08 14:00:00
"70";"Pula";NA;2017-06-08 14:00:00
"71";"Rab";NA;2017-06-08 14:00:00
"72";"Rovinj-Sv.Ivan n/p";NA;2017-06-08 14:00:00
"73";"Split";NA;2017-06-08 14:00:00
"74";"Šibenik";NA;2017-06-08 14:00:00
"75";"Zadar";20;2017-06-08 14:00:00
"76";"Božava";NA;2017-06-08 16:00:00
"77";"Crikvenica";21,5;2017-06-08 16:00:00
"78";"Dubrovnik";23,1;2017-06-08 16:00:00
"79";"Hvar";NA;2017-06-08 16:00:00
"80";"Komiža";NA;2017-06-08 16:00:00
"81";"Krk";NA;2017-06-08 16:00:00
"82";"Malinska";21,1;2017-06-08 16:00:00
"83";"Mali Lošinj";20,6;2017-06-08 16:00:00
"84";"Poreč";NA;2017-06-08 16:00:00
"85";"Pula";NA;2017-06-08 16:00:00
"86";"Rab";NA;2017-06-08 16:00:00
"87";"Rovinj-Sv.Ivan n/p";NA;2017-06-08 16:00:00
"88";"Split";NA;2017-06-08 16:00:00
"89";"Šibenik";NA;2017-06-08 16:00:00
"90";"Zadar";19,3;2017-06-08 16:00:00
