"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";7;2018-04-29 06:00:00
"Božava";20;2018-04-29 06:00:00
"Dubrovnik";19,4;2018-04-29 06:00:00
"Hvar";NA;2018-04-29 06:00:00
"Komiža";NA;2018-04-29 06:00:00
"Krk";NA;2018-04-29 06:00:00
"Malinska";16,9;2018-04-29 06:00:00
"Mali Lošinj";18,8;2018-04-29 06:00:00
"Mljet-otvoreno more";20;2018-04-29 06:00:00
"Mljet-Malo jezero";20,5;2018-04-29 06:00:00
"Pula";NA;2018-04-29 06:00:00
"Rab";NA;2018-04-29 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-29 06:00:00
"Split";NA;2018-04-29 06:00:00
"Šibenik";NA;2018-04-29 06:00:00
"Zadar";17,6;2018-04-29 06:00:00
"Postaja \ Termin mjerenja (h)";8;2018-04-29 07:00:00
"Božava";NA;2018-04-29 07:00:00
"Dubrovnik";19,1;2018-04-29 07:00:00
"Hvar";19;2018-04-29 07:00:00
"Komiža";19;2018-04-29 07:00:00
"Krk";18;2018-04-29 07:00:00
"Malinska";16,9;2018-04-29 07:00:00
"Mali Lošinj";18,9;2018-04-29 07:00:00
"Mljet-otvoreno more";20,1;2018-04-29 07:00:00
"Mljet-Malo jezero";20,6;2018-04-29 07:00:00
"Pula";18;2018-04-29 07:00:00
"Rab";18;2018-04-29 07:00:00
"Rovinj-Sv.Ivan n/p";17;2018-04-29 07:00:00
"Split";18;2018-04-29 07:00:00
"Šibenik";20;2018-04-29 07:00:00
"Zadar";17,6;2018-04-29 07:00:00
"Postaja \ Termin mjerenja (h)";11;2018-04-29 10:00:00
"Božava";NA;2018-04-29 10:00:00
"Dubrovnik";19,1;2018-04-29 10:00:00
"Hvar";NA;2018-04-29 10:00:00
"Komiža";NA;2018-04-29 10:00:00
"Krk";NA;2018-04-29 10:00:00
"Malinska";16,5;2018-04-29 10:00:00
"Mali Lošinj";19;2018-04-29 10:00:00
"Mljet-otvoreno more";20,3;2018-04-29 10:00:00
"Mljet-Malo jezero";20,7;2018-04-29 10:00:00
"Pula";NA;2018-04-29 10:00:00
"Rab";NA;2018-04-29 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-29 10:00:00
"Split";NA;2018-04-29 10:00:00
"Šibenik";NA;2018-04-29 10:00:00
"Zadar";17,8;2018-04-29 10:00:00
"Postaja \ Termin mjerenja (h)";14;2018-04-29 13:00:00
"Božava";20;2018-04-29 13:00:00
"Dubrovnik";20,3;2018-04-29 13:00:00
"Hvar";19;2018-04-29 13:00:00
"Komiža";19;2018-04-29 13:00:00
"Krk";19;2018-04-29 13:00:00
"Malinska";16,1;2018-04-29 13:00:00
"Mali Lošinj";19,6;2018-04-29 13:00:00
"Mljet-otvoreno more";21,3;2018-04-29 13:00:00
"Mljet-Malo jezero";21,7;2018-04-29 13:00:00
"Pula";NA;2018-04-29 13:00:00
"Rab";21;2018-04-29 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-29 13:00:00
"Split";20;2018-04-29 13:00:00
"Šibenik";NA;2018-04-29 13:00:00
"Zadar";19,5;2018-04-29 13:00:00
"Postaja \ Termin mjerenja (h)";15;2018-04-29 14:00:00
"Božava";NA;2018-04-29 14:00:00
"Dubrovnik";20,4;2018-04-29 14:00:00
"Hvar";19;2018-04-29 14:00:00
"Komiža";19;2018-04-29 14:00:00
"Krk";NA;2018-04-29 14:00:00
"Malinska";16,5;2018-04-29 14:00:00
"Mali Lošinj";20,1;2018-04-29 14:00:00
"Mljet-otvoreno more";21;2018-04-29 14:00:00
"Mljet-Malo jezero";21,9;2018-04-29 14:00:00
"Pula";NA;2018-04-29 14:00:00
"Rab";21;2018-04-29 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-29 14:00:00
"Split";NA;2018-04-29 14:00:00
"Šibenik";20;2018-04-29 14:00:00
"Zadar";19,4;2018-04-29 14:00:00
"Postaja \ Termin mjerenja (h)";17;2018-04-29 16:00:00
"Božava";NA;2018-04-29 16:00:00
"Dubrovnik";21,3;2018-04-29 16:00:00
"Hvar";NA;2018-04-29 16:00:00
"Komiža";NA;2018-04-29 16:00:00
"Krk";NA;2018-04-29 16:00:00
"Malinska";16,4;2018-04-29 16:00:00
"Mali Lošinj";21,1;2018-04-29 16:00:00
"Mljet-otvoreno more";21,1;2018-04-29 16:00:00
"Mljet-Malo jezero";21,9;2018-04-29 16:00:00
"Pula";NA;2018-04-29 16:00:00
"Rab";NA;2018-04-29 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-29 16:00:00
"Split";NA;2018-04-29 16:00:00
"Šibenik";NA;2018-04-29 16:00:00
"Zadar";19,5;2018-04-29 16:00:00
