"";"grad";"temp";"vrijeme"
"1";"Božava";18;2017-05-19 06:00:00
"2";"Crikvenica";17,8;2017-05-19 06:00:00
"3";"Dubrovnik";19;2017-05-19 06:00:00
"4";"Hvar";NA;2017-05-19 06:00:00
"5";"Komiža";NA;2017-05-19 06:00:00
"6";"Krk";NA;2017-05-19 06:00:00
"7";"Malinska";17,8;2017-05-19 06:00:00
"8";"Mali Lošinj";17,4;2017-05-19 06:00:00
"9";"Pula";NA;2017-05-19 06:00:00
"10";"Rab";NA;2017-05-19 06:00:00
"11";"Rovinj-Sv.Ivan n/p";NA;2017-05-19 06:00:00
"12";"Split";NA;2017-05-19 06:00:00
"13";"Šibenik";NA;2017-05-19 06:00:00
"14";"Zadar";18,3;2017-05-19 06:00:00
"15";"Božava";NA;2017-05-19 07:00:00
"16";"Crikvenica";17,9;2017-05-19 07:00:00
"17";"Dubrovnik";19,1;2017-05-19 07:00:00
"18";"Hvar";18;2017-05-19 07:00:00
"19";"Komiža";17;2017-05-19 07:00:00
"20";"Krk";18;2017-05-19 07:00:00
"21";"Malinska";17,9;2017-05-19 07:00:00
"22";"Mali Lošinj";17,7;2017-05-19 07:00:00
"23";"Pula";20;2017-05-19 07:00:00
"24";"Rab";17;2017-05-19 07:00:00
"25";"Rovinj-Sv.Ivan n/p";17;2017-05-19 07:00:00
"26";"Split";18;2017-05-19 07:00:00
"27";"Šibenik";19;2017-05-19 07:00:00
"28";"Zadar";18,3;2017-05-19 07:00:00
"29";"Božava";NA;2017-05-19 10:00:00
"30";"Crikvenica";18,2;2017-05-19 10:00:00
"31";"Dubrovnik";19,2;2017-05-19 10:00:00
"32";"Hvar";NA;2017-05-19 10:00:00
"33";"Komiža";NA;2017-05-19 10:00:00
"34";"Krk";NA;2017-05-19 10:00:00
"35";"Malinska";18;2017-05-19 10:00:00
"36";"Mali Lošinj";17,7;2017-05-19 10:00:00
"37";"Pula";NA;2017-05-19 10:00:00
"38";"Rab";NA;2017-05-19 10:00:00
"39";"Rovinj-Sv.Ivan n/p";NA;2017-05-19 10:00:00
"40";"Split";NA;2017-05-19 10:00:00
"41";"Šibenik";NA;2017-05-19 10:00:00
"42";"Zadar";18,6;2017-05-19 10:00:00
"43";"Božava";19;2017-05-19 13:00:00
"44";"Crikvenica";18,8;2017-05-19 13:00:00
"45";"Dubrovnik";19,7;2017-05-19 13:00:00
"46";"Hvar";18;2017-05-19 13:00:00
"47";"Komiža";18;2017-05-19 13:00:00
"48";"Krk";19;2017-05-19 13:00:00
"49";"Malinska";17,7;2017-05-19 13:00:00
"50";"Mali Lošinj";18,4;2017-05-19 13:00:00
"51";"Pula";NA;2017-05-19 13:00:00
"52";"Rab";20;2017-05-19 13:00:00
"53";"Rovinj-Sv.Ivan n/p";NA;2017-05-19 13:00:00
"54";"Split";20;2017-05-19 13:00:00
"55";"Šibenik";NA;2017-05-19 13:00:00
"56";"Zadar";19,4;2017-05-19 13:00:00
"57";"Božava";NA;2017-05-19 14:00:00
"58";"Crikvenica";18,6;2017-05-19 14:00:00
"59";"Dubrovnik";20,3;2017-05-19 14:00:00
"60";"Hvar";NA;2017-05-19 14:00:00
"61";"Komiža";NA;2017-05-19 14:00:00
"62";"Krk";NA;2017-05-19 14:00:00
"63";"Malinska";17,9;2017-05-19 14:00:00
"64";"Mali Lošinj";18,7;2017-05-19 14:00:00
"65";"Pula";NA;2017-05-19 14:00:00
"66";"Rab";NA;2017-05-19 14:00:00
"67";"Rovinj-Sv.Ivan n/p";NA;2017-05-19 14:00:00
"68";"Split";NA;2017-05-19 14:00:00
"69";"Šibenik";NA;2017-05-19 14:00:00
"70";"Zadar";19,6;2017-05-19 14:00:00
"71";"Božava";NA;2017-05-19 16:00:00
"72";"Crikvenica";19,6;2017-05-19 16:00:00
"73";"Dubrovnik";20,8;2017-05-19 16:00:00
"74";"Hvar";NA;2017-05-19 16:00:00
"75";"Komiža";NA;2017-05-19 16:00:00
"76";"Krk";NA;2017-05-19 16:00:00
"77";"Malinska";17,9;2017-05-19 16:00:00
"78";"Mali Lošinj";19;2017-05-19 16:00:00
"79";"Pula";NA;2017-05-19 16:00:00
"80";"Rab";NA;2017-05-19 16:00:00
"81";"Rovinj-Sv.Ivan n/p";NA;2017-05-19 16:00:00
"82";"Split";NA;2017-05-19 16:00:00
"83";"Šibenik";NA;2017-05-19 16:00:00
"84";"Zadar";19,9;2017-05-19 16:00:00
