"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";7;2018-04-09 06:00:00
"Božava";14;2018-04-09 06:00:00
"Crikvenica";12,9;2018-04-09 06:00:00
"Dubrovnik";15;2018-04-09 06:00:00
"Hvar";NA;2018-04-09 06:00:00
"Komiža";NA;2018-04-09 06:00:00
"Krk";NA;2018-04-09 06:00:00
"Malinska";12,4;2018-04-09 06:00:00
"Mali Lošinj";13,4;2018-04-09 06:00:00
"Mljet-otvoreno more";14,6;2018-04-09 06:00:00
"Mljet-Veliko jezero";13,9;2018-04-09 06:00:00
"Mljet-Malo jezero";14,6;2018-04-09 06:00:00
"Pula";NA;2018-04-09 06:00:00
"Rab";NA;2018-04-09 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-09 06:00:00
"Split";NA;2018-04-09 06:00:00
"Šibenik";NA;2018-04-09 06:00:00
"Zadar";12,5;2018-04-09 06:00:00
"Postaja \ Termin mjerenja (h)";8;2018-04-09 07:00:00
"Božava";NA;2018-04-09 07:00:00
"Crikvenica";12,7;2018-04-09 07:00:00
"Dubrovnik";15,1;2018-04-09 07:00:00
"Hvar";14;2018-04-09 07:00:00
"Komiža";15;2018-04-09 07:00:00
"Krk";13;2018-04-09 07:00:00
"Malinska";12,4;2018-04-09 07:00:00
"Mali Lošinj";13,5;2018-04-09 07:00:00
"Mljet-otvoreno more";14,6;2018-04-09 07:00:00
"Mljet-Veliko jezero";13,9;2018-04-09 07:00:00
"Mljet-Malo jezero";14,6;2018-04-09 07:00:00
"Pula";14;2018-04-09 07:00:00
"Rab";12;2018-04-09 07:00:00
"Rovinj-Sv.Ivan n/p";12;2018-04-09 07:00:00
"Split";14;2018-04-09 07:00:00
"Šibenik";15;2018-04-09 07:00:00
"Zadar";12,4;2018-04-09 07:00:00
"Postaja \ Termin mjerenja (h)";11;2018-04-09 10:00:00
"Božava";NA;2018-04-09 10:00:00
"Crikvenica";13,2;2018-04-09 10:00:00
"Dubrovnik";15,2;2018-04-09 10:00:00
"Hvar";NA;2018-04-09 10:00:00
"Komiža";NA;2018-04-09 10:00:00
"Krk";NA;2018-04-09 10:00:00
"Malinska";12,5;2018-04-09 10:00:00
"Mali Lošinj";13,5;2018-04-09 10:00:00
"Mljet-otvoreno more";14,8;2018-04-09 10:00:00
"Mljet-Veliko jezero";14,1;2018-04-09 10:00:00
"Mljet-Malo jezero";14,7;2018-04-09 10:00:00
"Pula";NA;2018-04-09 10:00:00
"Rab";NA;2018-04-09 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-09 10:00:00
"Split";NA;2018-04-09 10:00:00
"Šibenik";NA;2018-04-09 10:00:00
"Zadar";12,5;2018-04-09 10:00:00
"Postaja \ Termin mjerenja (h)";14;2018-04-09 13:00:00
"Božava";14;2018-04-09 13:00:00
"Crikvenica";12,9;2018-04-09 13:00:00
"Dubrovnik";15,2;2018-04-09 13:00:00
"Hvar";NA;2018-04-09 13:00:00
"Komiža";15;2018-04-09 13:00:00
"Krk";13;2018-04-09 13:00:00
"Malinska";12,8;2018-04-09 13:00:00
"Mali Lošinj";13,5;2018-04-09 13:00:00
"Mljet-otvoreno more";15,1;2018-04-09 13:00:00
"Mljet-Veliko jezero";14,1;2018-04-09 13:00:00
"Mljet-Malo jezero";14,9;2018-04-09 13:00:00
"Pula";NA;2018-04-09 13:00:00
"Rab";NA;2018-04-09 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-09 13:00:00
"Split";14;2018-04-09 13:00:00
"Šibenik";NA;2018-04-09 13:00:00
"Zadar";12,4;2018-04-09 13:00:00
"Postaja \ Termin mjerenja (h)";15;2018-04-09 14:00:00
"Božava";NA;2018-04-09 14:00:00
"Crikvenica";13;2018-04-09 14:00:00
"Dubrovnik";15,2;2018-04-09 14:00:00
"Hvar";14;2018-04-09 14:00:00
"Komiža";15;2018-04-09 14:00:00
"Krk";NA;2018-04-09 14:00:00
"Malinska";12,8;2018-04-09 14:00:00
"Mali Lošinj";13,6;2018-04-09 14:00:00
"Mljet-otvoreno more";15,1;2018-04-09 14:00:00
"Mljet-Veliko jezero";14,1;2018-04-09 14:00:00
"Mljet-Malo jezero";15;2018-04-09 14:00:00
"Pula";NA;2018-04-09 14:00:00
"Rab";12;2018-04-09 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-09 14:00:00
"Split";NA;2018-04-09 14:00:00
"Šibenik";15;2018-04-09 14:00:00
"Zadar";12,4;2018-04-09 14:00:00
"Postaja \ Termin mjerenja (h)";17;2018-04-09 16:00:00
"Božava";NA;2018-04-09 16:00:00
"Crikvenica";13;2018-04-09 16:00:00
"Dubrovnik";15,3;2018-04-09 16:00:00
"Hvar";NA;2018-04-09 16:00:00
"Komiža";NA;2018-04-09 16:00:00
"Krk";NA;2018-04-09 16:00:00
"Malinska";12,8;2018-04-09 16:00:00
"Mali Lošinj";13,6;2018-04-09 16:00:00
"Mljet-otvoreno more";14,8;2018-04-09 16:00:00
"Mljet-Veliko jezero";14,2;2018-04-09 16:00:00
"Mljet-Malo jezero";14,9;2018-04-09 16:00:00
"Pula";NA;2018-04-09 16:00:00
"Rab";NA;2018-04-09 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-09 16:00:00
"Split";NA;2018-04-09 16:00:00
"Šibenik";NA;2018-04-09 16:00:00
"Zadar";12,4;2018-04-09 16:00:00
