"grad";"temp";"vrijeme"
"Božava";22;2017-06-19 06:00:00
"Crikvenica";22,2;2017-06-19 06:00:00
"Dubrovnik";18,8;2017-06-19 06:00:00
"Hvar";NA;2017-06-19 06:00:00
"Komiža";NA;2017-06-19 06:00:00
"Krk";NA;2017-06-19 06:00:00
"Malinska";22,4;2017-06-19 06:00:00
"Mali Lošinj";21,4;2017-06-19 06:00:00
"Pula";NA;2017-06-19 06:00:00
"Rab";NA;2017-06-19 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-19 06:00:00
"Split";NA;2017-06-19 06:00:00
"Šibenik";NA;2017-06-19 06:00:00
"Zadar";22,1;2017-06-19 06:00:00
"Božava";NA;2017-06-19 07:00:00
"Crikvenica";22,2;2017-06-19 07:00:00
"Dubrovnik";18,9;2017-06-19 07:00:00
"Hvar";23;2017-06-19 07:00:00
"Komiža";22;2017-06-19 07:00:00
"Krk";22;2017-06-19 07:00:00
"Malinska";22,2;2017-06-19 07:00:00
"Mali Lošinj";21,4;2017-06-19 07:00:00
"Pula";24;2017-06-19 07:00:00
"Rab";22;2017-06-19 07:00:00
"Rovinj-Sv.Ivan n/p";24;2017-06-19 07:00:00
"Split";22;2017-06-19 07:00:00
"Šibenik";22;2017-06-19 07:00:00
"Zadar";22;2017-06-19 07:00:00
"Božava";NA;2017-06-19 10:00:00
"Crikvenica";22,6;2017-06-19 10:00:00
"Dubrovnik";19;2017-06-19 10:00:00
"Hvar";NA;2017-06-19 10:00:00
"Komiža";NA;2017-06-19 10:00:00
"Krk";NA;2017-06-19 10:00:00
"Malinska";NA;2017-06-19 10:00:00
"Mali Lošinj";21,7;2017-06-19 10:00:00
"Pula";NA;2017-06-19 10:00:00
"Rab";NA;2017-06-19 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-19 10:00:00
"Split";NA;2017-06-19 10:00:00
"Šibenik";NA;2017-06-19 10:00:00
"Zadar";22,6;2017-06-19 10:00:00
"Božava";23;2017-06-19 13:00:00
"Crikvenica";23,2;2017-06-19 13:00:00
"Dubrovnik";20,1;2017-06-19 13:00:00
"Hvar";23;2017-06-19 13:00:00
"Komiža";23;2017-06-19 13:00:00
"Krk";23;2017-06-19 13:00:00
"Malinska";22,5;2017-06-19 13:00:00
"Mali Lošinj";22,6;2017-06-19 13:00:00
"Pula";NA;2017-06-19 13:00:00
"Rab";22;2017-06-19 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-19 13:00:00
"Split";23;2017-06-19 13:00:00
"Šibenik";NA;2017-06-19 13:00:00
"Zadar";22,8;2017-06-19 13:00:00
"Božava";NA;2017-06-19 14:00:00
"Crikvenica";23,2;2017-06-19 14:00:00
"Dubrovnik";20,4;2017-06-19 14:00:00
"Hvar";NA;2017-06-19 14:00:00
"Komiža";NA;2017-06-19 14:00:00
"Krk";NA;2017-06-19 14:00:00
"Malinska";22,6;2017-06-19 14:00:00
"Mali Lošinj";22,7;2017-06-19 14:00:00
"Pula";NA;2017-06-19 14:00:00
"Rab";NA;2017-06-19 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-19 14:00:00
"Split";NA;2017-06-19 14:00:00
"Šibenik";NA;2017-06-19 14:00:00
"Zadar";22,9;2017-06-19 14:00:00
"Božava";NA;2017-06-19 16:00:00
"Crikvenica";23,3;2017-06-19 16:00:00
"Dubrovnik";19,4;2017-06-19 16:00:00
"Hvar";NA;2017-06-19 16:00:00
"Komiža";NA;2017-06-19 16:00:00
"Krk";NA;2017-06-19 16:00:00
"Malinska";22,8;2017-06-19 16:00:00
"Mali Lošinj";22,9;2017-06-19 16:00:00
"Pula";NA;2017-06-19 16:00:00
"Rab";NA;2017-06-19 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-19 16:00:00
"Split";NA;2017-06-19 16:00:00
"Šibenik";NA;2017-06-19 16:00:00
"Zadar";22,9;2017-06-19 16:00:00
