"";"grad";"temp";"vrijeme"
"1";"Božava";15;2017-04-11 06:00:00
"2";"Crikvenica";14,4;2017-04-11 06:00:00
"3";"Dubrovnik";16;2017-04-11 06:00:00
"4";"Hvar";NA;2017-04-11 06:00:00
"5";"Komiža";NA;2017-04-11 06:00:00
"6";"Krk";NA;2017-04-11 06:00:00
"7";"Malinska";14,8;2017-04-11 06:00:00
"8";"Mali Lošinj";14,6;2017-04-11 06:00:00
"9";"Pula";NA;2017-04-11 06:00:00
"10";"Rab";NA;2017-04-11 06:00:00
"11";"Split";NA;2017-04-11 06:00:00
"12";"Šibenik";NA;2017-04-11 06:00:00
"13";"Zadar";14,7;2017-04-11 06:00:00
"14";"Božava";NA;2017-04-11 07:00:00
"15";"Crikvenica";14,4;2017-04-11 07:00:00
"16";"Dubrovnik";16,3;2017-04-11 07:00:00
"17";"Hvar";15;2017-04-11 07:00:00
"18";"Komiža";16;2017-04-11 07:00:00
"19";"Krk";15;2017-04-11 07:00:00
"20";"Malinska";14,9;2017-04-11 07:00:00
"21";"Mali Lošinj";14,6;2017-04-11 07:00:00
"22";"Pula";15;2017-04-11 07:00:00
"23";"Rab";15;2017-04-11 07:00:00
"24";"Split";15;2017-04-11 07:00:00
"25";"Šibenik";16;2017-04-11 07:00:00
"26";"Zadar";14,7;2017-04-11 07:00:00
"27";"Božava";NA;2017-04-11 10:00:00
"28";"Crikvenica";14,5;2017-04-11 10:00:00
"29";"Dubrovnik";16,3;2017-04-11 10:00:00
"30";"Hvar";NA;2017-04-11 10:00:00
"31";"Komiža";NA;2017-04-11 10:00:00
"32";"Krk";NA;2017-04-11 10:00:00
"33";"Malinska";15,1;2017-04-11 10:00:00
"34";"Mali Lošinj";14,8;2017-04-11 10:00:00
"35";"Pula";NA;2017-04-11 10:00:00
"36";"Rab";NA;2017-04-11 10:00:00
"37";"Split";NA;2017-04-11 10:00:00
"38";"Šibenik";NA;2017-04-11 10:00:00
"39";"Zadar";15,2;2017-04-11 10:00:00
"40";"Božava";16;2017-04-11 13:00:00
"41";"Crikvenica";15,3;2017-04-11 13:00:00
"42";"Dubrovnik";17,5;2017-04-11 13:00:00
"43";"Hvar";16;2017-04-11 13:00:00
"44";"Komiža";17;2017-04-11 13:00:00
"45";"Krk";16;2017-04-11 13:00:00
"46";"Malinska";15,3;2017-04-11 13:00:00
"47";"Mali Lošinj";15,4;2017-04-11 13:00:00
"48";"Pula";NA;2017-04-11 13:00:00
"49";"Rab";NA;2017-04-11 13:00:00
"50";"Split";17;2017-04-11 13:00:00
"51";"Šibenik";NA;2017-04-11 13:00:00
"52";"Zadar";15,6;2017-04-11 13:00:00
"53";"Božava";NA;2017-04-11 14:00:00
"54";"Crikvenica";15,6;2017-04-11 14:00:00
"55";"Dubrovnik";16,4;2017-04-11 14:00:00
"56";"Hvar";NA;2017-04-11 14:00:00
"57";"Komiža";NA;2017-04-11 14:00:00
"58";"Krk";NA;2017-04-11 14:00:00
"59";"Malinska";15,3;2017-04-11 14:00:00
"60";"Mali Lošinj";15,7;2017-04-11 14:00:00
"61";"Pula";NA;2017-04-11 14:00:00
"62";"Rab";NA;2017-04-11 14:00:00
"63";"Split";NA;2017-04-11 14:00:00
"64";"Šibenik";NA;2017-04-11 14:00:00
"65";"Zadar";15,7;2017-04-11 14:00:00
"66";"Božava";NA;2017-04-11 16:00:00
"67";"Crikvenica";15,4;2017-04-11 16:00:00
"68";"Dubrovnik";16,2;2017-04-11 16:00:00
"69";"Hvar";NA;2017-04-11 16:00:00
"70";"Komiža";NA;2017-04-11 16:00:00
"71";"Krk";NA;2017-04-11 16:00:00
"72";"Malinska";15,5;2017-04-11 16:00:00
"73";"Mali Lošinj";16,1;2017-04-11 16:00:00
"74";"Pula";NA;2017-04-11 16:00:00
"75";"Rab";NA;2017-04-11 16:00:00
"76";"Split";NA;2017-04-11 16:00:00
"77";"Šibenik";NA;2017-04-11 16:00:00
"78";"Zadar";15,9;2017-04-11 16:00:00
