"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";7;2018-04-13 06:00:00
"Božava";13;2018-04-13 06:00:00
"Crikvenica";12,6;2018-04-13 06:00:00
"Dubrovnik";15,9;2018-04-13 06:00:00
"Hvar";NA;2018-04-13 06:00:00
"Komiža";NA;2018-04-13 06:00:00
"Krk";NA;2018-04-13 06:00:00
"Lastovo";NA;2018-04-13 06:00:00
"Malinska";12,4;2018-04-13 06:00:00
"Mali Lošinj";13,8;2018-04-13 06:00:00
"Mljet-otvoreno more";15,2;2018-04-13 06:00:00
"Mljet-Veliko jezero";15;2018-04-13 06:00:00
"Mljet-Malo jezero";16;2018-04-13 06:00:00
"Pula";NA;2018-04-13 06:00:00
"Rab";NA;2018-04-13 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-04-13 06:00:00
"Split";NA;2018-04-13 06:00:00
"Šibenik";NA;2018-04-13 06:00:00
"Zadar";13;2018-04-13 06:00:00
"Postaja \ Termin mjerenja (h)";8;2018-04-13 07:00:00
"Božava";NA;2018-04-13 07:00:00
"Crikvenica";12,4;2018-04-13 07:00:00
"Dubrovnik";15,8;2018-04-13 07:00:00
"Hvar";15;2018-04-13 07:00:00
"Komiža";15;2018-04-13 07:00:00
"Krk";13;2018-04-13 07:00:00
"Lastovo";NA;2018-04-13 07:00:00
"Malinska";12,4;2018-04-13 07:00:00
"Mali Lošinj";13,9;2018-04-13 07:00:00
"Mljet-otvoreno more";15,2;2018-04-13 07:00:00
"Mljet-Veliko jezero";15,1;2018-04-13 07:00:00
"Mljet-Malo jezero";15,9;2018-04-13 07:00:00
"Pula";14;2018-04-13 07:00:00
"Rab";12;2018-04-13 07:00:00
"Rovinj-Sv.Ivan n/p";13;2018-04-13 07:00:00
"Split";15;2018-04-13 07:00:00
"Šibenik";14;2018-04-13 07:00:00
"Zadar";13,1;2018-04-13 07:00:00
"Postaja \ Termin mjerenja (h)";11;2018-04-13 10:00:00
"Božava";NA;2018-04-13 10:00:00
