"";"grad";"temp";"vrijeme"
"1";"Božava";18;2017-05-29 06:00:00
"2";"Crikvenica";19;2017-05-29 06:00:00
"3";"Dubrovnik";18,5;2017-05-29 06:00:00
"4";"Hvar";NA;2017-05-29 06:00:00
"5";"Komiža";NA;2017-05-29 06:00:00
"6";"Krk";NA;2017-05-29 06:00:00
"7";"Lastovo";NA;2017-05-29 06:00:00
"8";"Malinska";21,1;2017-05-29 06:00:00
"9";"Mali Lošinj";18,5;2017-05-29 06:00:00
"10";"Pula";NA;2017-05-29 06:00:00
"11";"Rab";NA;2017-05-29 06:00:00
"12";"Rovinj-Sv.Ivan n/p";NA;2017-05-29 06:00:00
"13";"Split";NA;2017-05-29 06:00:00
"14";"Šibenik";NA;2017-05-29 06:00:00
"15";"Zadar";19,4;2017-05-29 06:00:00
"16";"Božava";NA;2017-05-29 07:00:00
"17";"Crikvenica";19,2;2017-05-29 07:00:00
"18";"Dubrovnik";18,7;2017-05-29 07:00:00
"19";"Hvar";19;2017-05-29 07:00:00
"20";"Komiža";19;2017-05-29 07:00:00
"21";"Krk";20;2017-05-29 07:00:00
"22";"Lastovo";NA;2017-05-29 07:00:00
"23";"Malinska";21;2017-05-29 07:00:00
"24";"Mali Lošinj";18,5;2017-05-29 07:00:00
"25";"Pula";21;2017-05-29 07:00:00
"26";"Rab";18;2017-05-29 07:00:00
"27";"Rovinj-Sv.Ivan n/p";18;2017-05-29 07:00:00
"28";"Split";19;2017-05-29 07:00:00
"29";"Šibenik";18;2017-05-29 07:00:00
"30";"Zadar";19,5;2017-05-29 07:00:00
"31";"Božava";NA;2017-05-29 10:00:00
"32";"Crikvenica";20,1;2017-05-29 10:00:00
"33";"Dubrovnik";18,9;2017-05-29 10:00:00
"34";"Hvar";NA;2017-05-29 10:00:00
"35";"Komiža";NA;2017-05-29 10:00:00
"36";"Krk";NA;2017-05-29 10:00:00
"37";"Lastovo";NA;2017-05-29 10:00:00
"38";"Malinska";21,3;2017-05-29 10:00:00
"39";"Mali Lošinj";18,8;2017-05-29 10:00:00
"40";"Pula";NA;2017-05-29 10:00:00
"41";"Rab";NA;2017-05-29 10:00:00
"42";"Rovinj-Sv.Ivan n/p";NA;2017-05-29 10:00:00
"43";"Split";NA;2017-05-29 10:00:00
"44";"Šibenik";NA;2017-05-29 10:00:00
"45";"Zadar";19,9;2017-05-29 10:00:00
"46";"Božava";19;2017-05-29 13:00:00
"47";"Crikvenica";20,5;2017-05-29 13:00:00
"48";"Dubrovnik";19,7;2017-05-29 13:00:00
"49";"Hvar";20;2017-05-29 13:00:00
"50";"Komiža";20;2017-05-29 13:00:00
"51";"Krk";20;2017-05-29 13:00:00
"52";"Lastovo";NA;2017-05-29 13:00:00
"53";"Malinska";21,7;2017-05-29 13:00:00
"54";"Mali Lošinj";19,3;2017-05-29 13:00:00
"55";"Pula";NA;2017-05-29 13:00:00
"56";"Rab";21;2017-05-29 13:00:00
"57";"Rovinj-Sv.Ivan n/p";NA;2017-05-29 13:00:00
"58";"Split";21;2017-05-29 13:00:00
"59";"Šibenik";NA;2017-05-29 13:00:00
"60";"Zadar";20,7;2017-05-29 13:00:00
"61";"Božava";NA;2017-05-29 14:00:00
"62";"Crikvenica";20,4;2017-05-29 14:00:00
"63";"Dubrovnik";20;2017-05-29 14:00:00
"64";"Hvar";NA;2017-05-29 14:00:00
"65";"Komiža";NA;2017-05-29 14:00:00
"66";"Krk";NA;2017-05-29 14:00:00
"67";"Lastovo";21;2017-05-29 14:00:00
"68";"Malinska";21,6;2017-05-29 14:00:00
"69";"Mali Lošinj";19,8;2017-05-29 14:00:00
"70";"Pula";NA;2017-05-29 14:00:00
"71";"Rab";NA;2017-05-29 14:00:00
"72";"Rovinj-Sv.Ivan n/p";NA;2017-05-29 14:00:00
"73";"Split";NA;2017-05-29 14:00:00
"74";"Šibenik";NA;2017-05-29 14:00:00
"75";"Zadar";20,6;2017-05-29 14:00:00
"76";"Božava";NA;2017-05-29 16:00:00
"77";"Crikvenica";20,8;2017-05-29 16:00:00
"78";"Dubrovnik";20,1;2017-05-29 16:00:00
"79";"Hvar";NA;2017-05-29 16:00:00
"80";"Komiža";NA;2017-05-29 16:00:00
"81";"Krk";NA;2017-05-29 16:00:00
"82";"Lastovo";NA;2017-05-29 16:00:00
"83";"Malinska";22,1;2017-05-29 16:00:00
"84";"Mali Lošinj";20,4;2017-05-29 16:00:00
"85";"Pula";NA;2017-05-29 16:00:00
"86";"Rab";NA;2017-05-29 16:00:00
"87";"Rovinj-Sv.Ivan n/p";NA;2017-05-29 16:00:00
"88";"Split";NA;2017-05-29 16:00:00
"89";"Šibenik";NA;2017-05-29 16:00:00
"90";"Zadar";21,1;2017-05-29 16:00:00
