"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";6;2018-02-28 06:00:00
"Božava";NA;2018-02-28 06:00:00
"Crikvenica";8,4;2018-02-28 06:00:00
"Dubrovnik";12,3;2018-02-28 06:00:00
"Hvar";NA;2018-02-28 06:00:00
"Komiža";NA;2018-02-28 06:00:00
"Krk";NA;2018-02-28 06:00:00
"Malinska";10,5;2018-02-28 06:00:00
"Mali Lošinj";10,6;2018-02-28 06:00:00
"Mljet-otvoreno more";12,4;2018-02-28 06:00:00
"Mljet-Veliko jezero";9,2;2018-02-28 06:00:00
"Mljet-Malo jezero";NA;2018-02-28 06:00:00
"Pula";NA;2018-02-28 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-02-28 06:00:00
"Split";NA;2018-02-28 06:00:00
"Šibenik";NA;2018-02-28 06:00:00
"Zadar";8,6;2018-02-28 06:00:00
"Postaja \ Termin mjerenja (h)";7;2018-02-28 07:00:00
"Božava";10;2018-02-28 07:00:00
"Crikvenica";8,9;2018-02-28 07:00:00
"Dubrovnik";12,5;2018-02-28 07:00:00
"Hvar";12;2018-02-28 07:00:00
"Komiža";14;2018-02-28 07:00:00
"Krk";10;2018-02-28 07:00:00
"Malinska";10,5;2018-02-28 07:00:00
"Mali Lošinj";10,6;2018-02-28 07:00:00
"Mljet-otvoreno more";12,4;2018-02-28 07:00:00
"Mljet-Veliko jezero";9,1;2018-02-28 07:00:00
"Mljet-Malo jezero";NA;2018-02-28 07:00:00
"Pula";9;2018-02-28 07:00:00
"Rovinj-Sv.Ivan n/p";9;2018-02-28 07:00:00
"Split";12;2018-02-28 07:00:00
"Šibenik";12;2018-02-28 07:00:00
"Zadar";8,7;2018-02-28 07:00:00
"Postaja \ Termin mjerenja (h)";10;2018-02-28 10:00:00
"Božava";NA;2018-02-28 10:00:00
"Crikvenica";8,7;2018-02-28 10:00:00
"Dubrovnik";12,4;2018-02-28 10:00:00
"Hvar";NA;2018-02-28 10:00:00
"Komiža";NA;2018-02-28 10:00:00
"Krk";NA;2018-02-28 10:00:00
"Malinska";10,6;2018-02-28 10:00:00
"Mali Lošinj";10,6;2018-02-28 10:00:00
"Mljet-otvoreno more";12,3;2018-02-28 10:00:00
"Mljet-Veliko jezero";9,1;2018-02-28 10:00:00
"Mljet-Malo jezero";NA;2018-02-28 10:00:00
"Pula";NA;2018-02-28 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-02-28 10:00:00
"Split";NA;2018-02-28 10:00:00
"Šibenik";NA;2018-02-28 10:00:00
"Zadar";8,9;2018-02-28 10:00:00
"Postaja \ Termin mjerenja (h)";13;2018-02-28 13:00:00
"Božava";10;2018-02-28 13:00:00
"Crikvenica";8,8;2018-02-28 13:00:00
"Dubrovnik";12,5;2018-02-28 13:00:00
"Hvar";13;2018-02-28 13:00:00
"Komiža";14;2018-02-28 13:00:00
"Krk";10;2018-02-28 13:00:00
"Malinska";10,7;2018-02-28 13:00:00
"Mali Lošinj";11,4;2018-02-28 13:00:00
"Mljet-otvoreno more";12,5;2018-02-28 13:00:00
"Mljet-Veliko jezero";9,5;2018-02-28 13:00:00
"Mljet-Malo jezero";5,2;2018-02-28 13:00:00
"Pula";NA;2018-02-28 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-02-28 13:00:00
"Split";12;2018-02-28 13:00:00
"Šibenik";NA;2018-02-28 13:00:00
"Zadar";8,9;2018-02-28 13:00:00
"Postaja \ Termin mjerenja (h)";14;2018-02-28 14:00:00
"Božava";NA;2018-02-28 14:00:00
"Crikvenica";8,9;2018-02-28 14:00:00
"Dubrovnik";12,5;2018-02-28 14:00:00
"Hvar";13;2018-02-28 14:00:00
"Komiža";14;2018-02-28 14:00:00
"Krk";NA;2018-02-28 14:00:00
"Malinska";10,7;2018-02-28 14:00:00
"Mali Lošinj";11,6;2018-02-28 14:00:00
"Mljet-otvoreno more";12,6;2018-02-28 14:00:00
"Mljet-Veliko jezero";9,5;2018-02-28 14:00:00
"Mljet-Malo jezero";5,3;2018-02-28 14:00:00
"Pula";NA;2018-02-28 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-02-28 14:00:00
"Split";NA;2018-02-28 14:00:00
"Šibenik";12;2018-02-28 14:00:00
"Zadar";8,6;2018-02-28 14:00:00
"Postaja \ Termin mjerenja (h)";16;2018-02-28 16:00:00
"Božava";NA;2018-02-28 16:00:00
"Crikvenica";9,2;2018-02-28 16:00:00
"Dubrovnik";12,5;2018-02-28 16:00:00
"Hvar";NA;2018-02-28 16:00:00
"Komiža";NA;2018-02-28 16:00:00
"Krk";NA;2018-02-28 16:00:00
"Malinska";10,7;2018-02-28 16:00:00
"Mali Lošinj";11,6;2018-02-28 16:00:00
"Mljet-otvoreno more";12,6;2018-02-28 16:00:00
"Mljet-Veliko jezero";9,3;2018-02-28 16:00:00
"Mljet-Malo jezero";5,5;2018-02-28 16:00:00
"Pula";NA;2018-02-28 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-02-28 16:00:00
"Split";NA;2018-02-28 16:00:00
"Šibenik";NA;2018-02-28 16:00:00
"Zadar";8,8;2018-02-28 16:00:00
