"";"grad";"temp";"vrijeme"
"1";"Postaja \ Termin mjerenja (h)";7;2017-06-01 06:00:00
"2";"Božava";19;2017-06-01 06:00:00
"3";"Crikvenica";21,7;2017-06-01 06:00:00
"4";"Dubrovnik";20,4;2017-06-01 06:00:00
"5";"Hvar";NA;2017-06-01 06:00:00
"6";"Komiža";NA;2017-06-01 06:00:00
"7";"Krk";NA;2017-06-01 06:00:00
"8";"Lastovo";NA;2017-06-01 06:00:00
"9";"Malinska";22,1;2017-06-01 06:00:00
"10";"Mali Lošinj";20,1;2017-06-01 06:00:00
"11";"Poreč";NA;2017-06-01 06:00:00
"12";"Pula";NA;2017-06-01 06:00:00
"13";"Rab";NA;2017-06-01 06:00:00
"14";"Rovinj-Sv.Ivan n/p";NA;2017-06-01 06:00:00
"15";"Split";NA;2017-06-01 06:00:00
"16";"Šibenik";NA;2017-06-01 06:00:00
"17";"Zadar";21;2017-06-01 06:00:00
"18";"Postaja \ Termin mjerenja (h)";8;2017-06-01 07:00:00
"19";"Božava";NA;2017-06-01 07:00:00
"20";"Crikvenica";21,7;2017-06-01 07:00:00
"21";"Dubrovnik";20,3;2017-06-01 07:00:00
"22";"Hvar";20;2017-06-01 07:00:00
"23";"Komiža";20;2017-06-01 07:00:00
"24";"Krk";21;2017-06-01 07:00:00
"25";"Lastovo";NA;2017-06-01 07:00:00
"26";"Malinska";22,2;2017-06-01 07:00:00
"27";"Mali Lošinj";20,1;2017-06-01 07:00:00
"28";"Poreč";NA;2017-06-01 07:00:00
"29";"Pula";21;2017-06-01 07:00:00
"30";"Rab";21;2017-06-01 07:00:00
"31";"Rovinj-Sv.Ivan n/p";22;2017-06-01 07:00:00
"32";"Split";20;2017-06-01 07:00:00
"33";"Šibenik";20;2017-06-01 07:00:00
"34";"Zadar";20,7;2017-06-01 07:00:00
"35";"Postaja \ Termin mjerenja (h)";11;2017-06-01 10:00:00
"36";"Božava";NA;2017-06-01 10:00:00
"37";"Crikvenica";22,3;2017-06-01 10:00:00
"38";"Dubrovnik";20,6;2017-06-01 10:00:00
"39";"Hvar";NA;2017-06-01 10:00:00
"40";"Komiža";NA;2017-06-01 10:00:00
"41";"Krk";NA;2017-06-01 10:00:00
"42";"Lastovo";NA;2017-06-01 10:00:00
"43";"Malinska";22,2;2017-06-01 10:00:00
"44";"Mali Lošinj";20,9;2017-06-01 10:00:00
"45";"Poreč";NA;2017-06-01 10:00:00
"46";"Pula";NA;2017-06-01 10:00:00
"47";"Rab";NA;2017-06-01 10:00:00
"48";"Rovinj-Sv.Ivan n/p";NA;2017-06-01 10:00:00
"49";"Split";NA;2017-06-01 10:00:00
"50";"Šibenik";NA;2017-06-01 10:00:00
"51";"Zadar";21,5;2017-06-01 10:00:00
"52";"Postaja \ Termin mjerenja (h)";14;2017-06-01 13:00:00
"53";"Božava";20;2017-06-01 13:00:00
"54";"Crikvenica";22,6;2017-06-01 13:00:00
"55";"Dubrovnik";21,3;2017-06-01 13:00:00
"56";"Hvar";21;2017-06-01 13:00:00
"57";"Komiža";21;2017-06-01 13:00:00
"58";"Krk";22;2017-06-01 13:00:00
"59";"Lastovo";NA;2017-06-01 13:00:00
"60";"Malinska";22,4;2017-06-01 13:00:00
"61";"Mali Lošinj";21,9;2017-06-01 13:00:00
"62";"Poreč";20;2017-06-01 13:00:00
"63";"Pula";NA;2017-06-01 13:00:00
"64";"Rab";22;2017-06-01 13:00:00
"65";"Rovinj-Sv.Ivan n/p";NA;2017-06-01 13:00:00
"66";"Split";22;2017-06-01 13:00:00
"67";"Šibenik";NA;2017-06-01 13:00:00
"68";"Zadar";22,1;2017-06-01 13:00:00
"69";"Postaja \ Termin mjerenja (h)";15;2017-06-01 14:00:00
"70";"Božava";NA;2017-06-01 14:00:00
"71";"Crikvenica";22,3;2017-06-01 14:00:00
"72";"Dubrovnik";21,4;2017-06-01 14:00:00
"73";"Hvar";NA;2017-06-01 14:00:00
"74";"Komiža";NA;2017-06-01 14:00:00
"75";"Krk";NA;2017-06-01 14:00:00
"76";"Lastovo";22;2017-06-01 14:00:00
"77";"Malinska";22,6;2017-06-01 14:00:00
"78";"Mali Lošinj";22;2017-06-01 14:00:00
"79";"Poreč";NA;2017-06-01 14:00:00
"80";"Pula";NA;2017-06-01 14:00:00
"81";"Rab";NA;2017-06-01 14:00:00
"82";"Rovinj-Sv.Ivan n/p";NA;2017-06-01 14:00:00
"83";"Split";NA;2017-06-01 14:00:00
"84";"Šibenik";NA;2017-06-01 14:00:00
"85";"Zadar";22;2017-06-01 14:00:00
"86";"Postaja \ Termin mjerenja (h)";17;2017-06-01 16:00:00
"87";"Božava";NA;2017-06-01 16:00:00
"88";"Crikvenica";22,9;2017-06-01 16:00:00
"89";"Dubrovnik";22,5;2017-06-01 16:00:00
"90";"Hvar";NA;2017-06-01 16:00:00
"91";"Komiža";NA;2017-06-01 16:00:00
"92";"Krk";NA;2017-06-01 16:00:00
"93";"Lastovo";NA;2017-06-01 16:00:00
"94";"Malinska";22,8;2017-06-01 16:00:00
"95";"Mali Lošinj";22,4;2017-06-01 16:00:00
"96";"Poreč";NA;2017-06-01 16:00:00
"97";"Pula";NA;2017-06-01 16:00:00
"98";"Rab";NA;2017-06-01 16:00:00
"99";"Rovinj-Sv.Ivan n/p";NA;2017-06-01 16:00:00
"100";"Split";NA;2017-06-01 16:00:00
"101";"Šibenik";NA;2017-06-01 16:00:00
"102";"Zadar";22;2017-06-01 16:00:00
