"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";6;2018-01-14 06:00:00
"Božava";NA;2018-01-14 06:00:00
"Crikvenica";10,5;2018-01-14 06:00:00
"Dubrovnik";12,5;2018-01-14 06:00:00
"Hvar";NA;2018-01-14 06:00:00
"Komiža";NA;2018-01-14 06:00:00
"Krk";NA;2018-01-14 06:00:00
"Malinska";12,1;2018-01-14 06:00:00
"Mali Lošinj";13,1;2018-01-14 06:00:00
"Mljet-otvoreno more";13,8;2018-01-14 06:00:00
"Mljet-Veliko jezero";11,6;2018-01-14 06:00:00
"Mljet-Malo jezero";10,8;2018-01-14 06:00:00
"Pula";NA;2018-01-14 06:00:00
"Rab";NA;2018-01-14 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-01-14 06:00:00
"Split";NA;2018-01-14 06:00:00
"Šibenik";NA;2018-01-14 06:00:00
"Zadar";11;2018-01-14 06:00:00
"Postaja \ Termin mjerenja (h)";7;2018-01-14 07:00:00
"Božava";13;2018-01-14 07:00:00
"Crikvenica";10,6;2018-01-14 07:00:00
"Dubrovnik";12,5;2018-01-14 07:00:00
"Hvar";14;2018-01-14 07:00:00
"Komiža";15;2018-01-14 07:00:00
"Krk";12;2018-01-14 07:00:00
"Malinska";12;2018-01-14 07:00:00
"Mali Lošinj";13,1;2018-01-14 07:00:00
"Mljet-otvoreno more";13,9;2018-01-14 07:00:00
"Mljet-Veliko jezero";11,5;2018-01-14 07:00:00
"Mljet-Malo jezero";10,8;2018-01-14 07:00:00
"Pula";12;2018-01-14 07:00:00
"Rab";11;2018-01-14 07:00:00
"Rovinj-Sv.Ivan n/p";11;2018-01-14 07:00:00
"Split";14;2018-01-14 07:00:00
"Šibenik";13;2018-01-14 07:00:00
"Zadar";11;2018-01-14 07:00:00
"Postaja \ Termin mjerenja (h)";10;2018-01-14 10:00:00
"Božava";NA;2018-01-14 10:00:00
"Crikvenica";10,6;2018-01-14 10:00:00
"Dubrovnik";12,5;2018-01-14 10:00:00
"Hvar";NA;2018-01-14 10:00:00
"Komiža";NA;2018-01-14 10:00:00
"Krk";NA;2018-01-14 10:00:00
"Malinska";12,1;2018-01-14 10:00:00
"Mali Lošinj";13,1;2018-01-14 10:00:00
"Mljet-otvoreno more";13,9;2018-01-14 10:00:00
"Mljet-Veliko jezero";11,5;2018-01-14 10:00:00
"Mljet-Malo jezero";10,7;2018-01-14 10:00:00
"Pula";NA;2018-01-14 10:00:00
"Rab";NA;2018-01-14 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-01-14 10:00:00
"Split";NA;2018-01-14 10:00:00
"Šibenik";NA;2018-01-14 10:00:00
"Zadar";10,9;2018-01-14 10:00:00
"Postaja \ Termin mjerenja (h)";13;2018-01-14 13:00:00
"Božava";13;2018-01-14 13:00:00
"Crikvenica";10,7;2018-01-14 13:00:00
"Dubrovnik";12,5;2018-01-14 13:00:00
"Hvar";14;2018-01-14 13:00:00
"Komiža";15;2018-01-14 13:00:00
"Krk";13;2018-01-14 13:00:00
"Malinska";12,3;2018-01-14 13:00:00
"Mali Lošinj";13,3;2018-01-14 13:00:00
"Mljet-otvoreno more";13,7;2018-01-14 13:00:00
"Mljet-Veliko jezero";11,6;2018-01-14 13:00:00
"Mljet-Malo jezero";10,8;2018-01-14 13:00:00
"Pula";NA;2018-01-14 13:00:00
"Rab";NA;2018-01-14 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-01-14 13:00:00
"Split";13;2018-01-14 13:00:00
"Šibenik";NA;2018-01-14 13:00:00
"Zadar";11,1;2018-01-14 13:00:00
"Postaja \ Termin mjerenja (h)";14;2018-01-14 14:00:00
"Božava";NA;2018-01-14 14:00:00
"Crikvenica";11;2018-01-14 14:00:00
"Dubrovnik";12,5;2018-01-14 14:00:00
"Hvar";14;2018-01-14 14:00:00
"Komiža";15;2018-01-14 14:00:00
"Krk";NA;2018-01-14 14:00:00
"Malinska";12,3;2018-01-14 14:00:00
"Mali Lošinj";13,2;2018-01-14 14:00:00
"Mljet-otvoreno more";13,6;2018-01-14 14:00:00
"Mljet-Veliko jezero";11,5;2018-01-14 14:00:00
"Mljet-Malo jezero";10,8;2018-01-14 14:00:00
"Pula";NA;2018-01-14 14:00:00
"Rab";12;2018-01-14 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-01-14 14:00:00
"Split";NA;2018-01-14 14:00:00
"Šibenik";14;2018-01-14 14:00:00
"Zadar";11,1;2018-01-14 14:00:00
"Postaja \ Termin mjerenja (h)";16;2018-01-14 16:00:00
"Božava";NA;2018-01-14 16:00:00
"Crikvenica";10,9;2018-01-14 16:00:00
"Dubrovnik";12,4;2018-01-14 16:00:00
"Hvar";NA;2018-01-14 16:00:00
"Komiža";NA;2018-01-14 16:00:00
"Krk";NA;2018-01-14 16:00:00
"Malinska";12,3;2018-01-14 16:00:00
"Mali Lošinj";13,2;2018-01-14 16:00:00
"Mljet-otvoreno more";13,6;2018-01-14 16:00:00
"Mljet-Veliko jezero";11,5;2018-01-14 16:00:00
"Mljet-Malo jezero";10,7;2018-01-14 16:00:00
"Pula";NA;2018-01-14 16:00:00
"Rab";NA;2018-01-14 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2018-01-14 16:00:00
"Split";NA;2018-01-14 16:00:00
"Šibenik";NA;2018-01-14 16:00:00
"Zadar";11;2018-01-14 16:00:00
