"grad";"temp";"vrijeme"
"Božava";23;2017-06-17 06:00:00
"Crikvenica";23,8;2017-06-17 06:00:00
"Dubrovnik";22,2;2017-06-17 06:00:00
"Hvar";NA;2017-06-17 06:00:00
"Komiža";NA;2017-06-17 06:00:00
"Krk";NA;2017-06-17 06:00:00
"Malinska";NA;2017-06-17 06:00:00
"Mali Lošinj";21,4;2017-06-17 06:00:00
"Pula";NA;2017-06-17 06:00:00
"Rab";NA;2017-06-17 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-17 06:00:00
"Split";NA;2017-06-17 06:00:00
"Šibenik";NA;2017-06-17 06:00:00
"Zadar";21,7;2017-06-17 06:00:00
"Božava";NA;2017-06-17 07:00:00
"Crikvenica";23,8;2017-06-17 07:00:00
"Dubrovnik";22;2017-06-17 07:00:00
"Hvar";23;2017-06-17 07:00:00
"Komiža";23;2017-06-17 07:00:00
"Krk";22;2017-06-17 07:00:00
"Malinska";NA;2017-06-17 07:00:00
"Mali Lošinj";21,6;2017-06-17 07:00:00
"Pula";24;2017-06-17 07:00:00
"Rab";24;2017-06-17 07:00:00
"Rovinj-Sv.Ivan n/p";23;2017-06-17 07:00:00
"Split";23;2017-06-17 07:00:00
"Šibenik";22;2017-06-17 07:00:00
"Zadar";22;2017-06-17 07:00:00
"Božava";NA;2017-06-17 10:00:00
"Crikvenica";23,7;2017-06-17 10:00:00
"Dubrovnik";22,2;2017-06-17 10:00:00
"Hvar";NA;2017-06-17 10:00:00
"Komiža";NA;2017-06-17 10:00:00
"Krk";NA;2017-06-17 10:00:00
"Malinska";23,1;2017-06-17 10:00:00
"Mali Lošinj";21,8;2017-06-17 10:00:00
"Pula";NA;2017-06-17 10:00:00
"Rab";NA;2017-06-17 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-17 10:00:00
"Split";NA;2017-06-17 10:00:00
"Šibenik";NA;2017-06-17 10:00:00
"Zadar";22,6;2017-06-17 10:00:00
"Božava";23;2017-06-17 13:00:00
"Crikvenica";23,7;2017-06-17 13:00:00
"Dubrovnik";22,2;2017-06-17 13:00:00
"Hvar";23;2017-06-17 13:00:00
"Komiža";23;2017-06-17 13:00:00
"Krk";23;2017-06-17 13:00:00
"Malinska";22,6;2017-06-17 13:00:00
"Mali Lošinj";22;2017-06-17 13:00:00
"Pula";NA;2017-06-17 13:00:00
"Rab";24;2017-06-17 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-17 13:00:00
"Split";23;2017-06-17 13:00:00
"Šibenik";NA;2017-06-17 13:00:00
"Zadar";22,1;2017-06-17 13:00:00
"Božava";NA;2017-06-17 14:00:00
"Crikvenica";23,9;2017-06-17 14:00:00
"Dubrovnik";22,2;2017-06-17 14:00:00
"Hvar";NA;2017-06-17 14:00:00
"Komiža";NA;2017-06-17 14:00:00
"Krk";NA;2017-06-17 14:00:00
"Malinska";22,6;2017-06-17 14:00:00
"Mali Lošinj";22;2017-06-17 14:00:00
"Pula";NA;2017-06-17 14:00:00
"Rab";NA;2017-06-17 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-17 14:00:00
"Split";NA;2017-06-17 14:00:00
"Šibenik";NA;2017-06-17 14:00:00
"Zadar";21,7;2017-06-17 14:00:00
"Božava";NA;2017-06-17 16:00:00
"Crikvenica";23,9;2017-06-17 16:00:00
"Dubrovnik";21,5;2017-06-17 16:00:00
"Hvar";NA;2017-06-17 16:00:00
"Komiža";NA;2017-06-17 16:00:00
"Krk";NA;2017-06-17 16:00:00
"Malinska";22,9;2017-06-17 16:00:00
"Mali Lošinj";22,1;2017-06-17 16:00:00
"Pula";NA;2017-06-17 16:00:00
"Rab";NA;2017-06-17 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-17 16:00:00
"Split";NA;2017-06-17 16:00:00
"Šibenik";NA;2017-06-17 16:00:00
"Zadar";22,8;2017-06-17 16:00:00
