"";"grad";"temp";"vrijeme"
"1";"Crikvenica";23,3;2017-06-03 06:00:00
"2";"Dubrovnik";20,8;2017-06-03 06:00:00
"3";"Hvar";NA;2017-06-03 06:00:00
"4";"Komiža";NA;2017-06-03 06:00:00
"5";"Krk";NA;2017-06-03 06:00:00
"6";"Malinska";23,7;2017-06-03 06:00:00
"7";"Mali Lošinj";20,5;2017-06-03 06:00:00
"8";"Pula";NA;2017-06-03 06:00:00
"9";"Rab";NA;2017-06-03 06:00:00
"10";"Rovinj-Sv.Ivan n/p";NA;2017-06-03 06:00:00
"11";"Split";NA;2017-06-03 06:00:00
"12";"Šibenik";NA;2017-06-03 06:00:00
"13";"Zadar";21,2;2017-06-03 06:00:00
"14";"Crikvenica";23;2017-06-03 07:00:00
"15";"Dubrovnik";20,8;2017-06-03 07:00:00
"16";"Hvar";21;2017-06-03 07:00:00
"17";"Komiža";21;2017-06-03 07:00:00
"18";"Krk";22;2017-06-03 07:00:00
"19";"Malinska";23,8;2017-06-03 07:00:00
"20";"Mali Lošinj";20,3;2017-06-03 07:00:00
"21";"Pula";23;2017-06-03 07:00:00
"22";"Rab";22;2017-06-03 07:00:00
"23";"Rovinj-Sv.Ivan n/p";23;2017-06-03 07:00:00
"24";"Split";21;2017-06-03 07:00:00
"25";"Šibenik";20;2017-06-03 07:00:00
"26";"Zadar";21,2;2017-06-03 07:00:00
"27";"Crikvenica";23,1;2017-06-03 10:00:00
"28";"Dubrovnik";21,2;2017-06-03 10:00:00
"29";"Hvar";NA;2017-06-03 10:00:00
"30";"Komiža";NA;2017-06-03 10:00:00
"31";"Krk";NA;2017-06-03 10:00:00
"32";"Malinska";23,8;2017-06-03 10:00:00
"33";"Mali Lošinj";20,9;2017-06-03 10:00:00
"34";"Pula";NA;2017-06-03 10:00:00
"35";"Rab";NA;2017-06-03 10:00:00
"36";"Rovinj-Sv.Ivan n/p";NA;2017-06-03 10:00:00
"37";"Split";NA;2017-06-03 10:00:00
"38";"Šibenik";NA;2017-06-03 10:00:00
"39";"Zadar";21,7;2017-06-03 10:00:00
"40";"Crikvenica";23,8;2017-06-03 13:00:00
"41";"Dubrovnik";22,5;2017-06-03 13:00:00
"42";"Hvar";22;2017-06-03 13:00:00
"43";"Komiža";22;2017-06-03 13:00:00
"44";"Krk";22;2017-06-03 13:00:00
"45";"Malinska";23,4;2017-06-03 13:00:00
"46";"Mali Lošinj";22,7;2017-06-03 13:00:00
"47";"Pula";NA;2017-06-03 13:00:00
"48";"Rab";23;2017-06-03 13:00:00
"49";"Rovinj-Sv.Ivan n/p";NA;2017-06-03 13:00:00
"50";"Split";24;2017-06-03 13:00:00
"51";"Šibenik";NA;2017-06-03 13:00:00
"52";"Zadar";21,9;2017-06-03 13:00:00
"53";"Crikvenica";23,2;2017-06-03 14:00:00
"54";"Dubrovnik";21,9;2017-06-03 14:00:00
"55";"Hvar";NA;2017-06-03 14:00:00
"56";"Komiža";NA;2017-06-03 14:00:00
"57";"Krk";NA;2017-06-03 14:00:00
"58";"Malinska";23,7;2017-06-03 14:00:00
"59";"Mali Lošinj";23;2017-06-03 14:00:00
"60";"Pula";NA;2017-06-03 14:00:00
"61";"Rab";NA;2017-06-03 14:00:00
"62";"Rovinj-Sv.Ivan n/p";NA;2017-06-03 14:00:00
"63";"Split";NA;2017-06-03 14:00:00
"64";"Šibenik";NA;2017-06-03 14:00:00
"65";"Zadar";22;2017-06-03 14:00:00
"66";"Crikvenica";23,6;2017-06-03 16:00:00
"67";"Dubrovnik";22,4;2017-06-03 16:00:00
"68";"Hvar";NA;2017-06-03 16:00:00
"69";"Komiža";NA;2017-06-03 16:00:00
"70";"Krk";NA;2017-06-03 16:00:00
"71";"Malinska";24,3;2017-06-03 16:00:00
"72";"Mali Lošinj";23,4;2017-06-03 16:00:00
"73";"Pula";NA;2017-06-03 16:00:00
"74";"Rab";NA;2017-06-03 16:00:00
"75";"Rovinj-Sv.Ivan n/p";NA;2017-06-03 16:00:00
"76";"Split";NA;2017-06-03 16:00:00
"77";"Šibenik";NA;2017-06-03 16:00:00
"78";"Zadar";21,8;2017-06-03 16:00:00
