"grad";"temp";"vrijeme"
"Postaja \ Termin mjerenja (h)";7;2017-07-25 06:00:00
"Božava";24;2017-07-25 06:00:00
"Crikvenica";24,6;2017-07-25 06:00:00
"Dubrovnik";24,8;2017-07-25 06:00:00
"Hvar";NA;2017-07-25 06:00:00
"Komiža";NA;2017-07-25 06:00:00
"Krk";NA;2017-07-25 06:00:00
"Malinska";24,8;2017-07-25 06:00:00
"Mali Lošinj";24,7;2017-07-25 06:00:00
"Mljet-otvoreno more";24,2;2017-07-25 06:00:00
"Mljet-Malo jezero";27,5;2017-07-25 06:00:00
"Pula";NA;2017-07-25 06:00:00
"Rab";NA;2017-07-25 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-25 06:00:00
"Split";NA;2017-07-25 06:00:00
"Šibenik";NA;2017-07-25 06:00:00
"Zadar";25,1;2017-07-25 06:00:00
"Postaja \ Termin mjerenja (h)";8;2017-07-25 07:00:00
"Božava";NA;2017-07-25 07:00:00
"Crikvenica";24,5;2017-07-25 07:00:00
"Dubrovnik";24,8;2017-07-25 07:00:00
"Hvar";24;2017-07-25 07:00:00
"Komiža";25;2017-07-25 07:00:00
"Krk";26;2017-07-25 07:00:00
"Malinska";24,9;2017-07-25 07:00:00
"Mali Lošinj";24,6;2017-07-25 07:00:00
"Mljet-otvoreno more";24,1;2017-07-25 07:00:00
"Mljet-Malo jezero";27,4;2017-07-25 07:00:00
"Pula";26;2017-07-25 07:00:00
"Rab";25;2017-07-25 07:00:00
"Rovinj-Sv.Ivan n/p";26;2017-07-25 07:00:00
"Split";24;2017-07-25 07:00:00
"Šibenik";25;2017-07-25 07:00:00
"Zadar";25;2017-07-25 07:00:00
"Postaja \ Termin mjerenja (h)";11;2017-07-25 10:00:00
"Božava";NA;2017-07-25 10:00:00
"Crikvenica";25,1;2017-07-25 10:00:00
"Dubrovnik";25;2017-07-25 10:00:00
"Hvar";NA;2017-07-25 10:00:00
"Komiža";NA;2017-07-25 10:00:00
"Krk";NA;2017-07-25 10:00:00
"Malinska";NA;2017-07-25 10:00:00
"Mali Lošinj";25;2017-07-25 10:00:00
"Mljet-otvoreno more";24,4;2017-07-25 10:00:00
"Mljet-Malo jezero";27,5;2017-07-25 10:00:00
"Pula";NA;2017-07-25 10:00:00
"Rab";NA;2017-07-25 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-25 10:00:00
"Split";NA;2017-07-25 10:00:00
"Šibenik";NA;2017-07-25 10:00:00
"Zadar";25,1;2017-07-25 10:00:00
"Postaja \ Termin mjerenja (h)";14;2017-07-25 13:00:00
"Božava";24;2017-07-25 13:00:00
"Crikvenica";25,5;2017-07-25 13:00:00
"Dubrovnik";25,4;2017-07-25 13:00:00
"Hvar";25;2017-07-25 13:00:00
"Komiža";25;2017-07-25 13:00:00
"Krk";26;2017-07-25 13:00:00
"Malinska";25,1;2017-07-25 13:00:00
"Mali Lošinj";25,2;2017-07-25 13:00:00
"Mljet-otvoreno more";25;2017-07-25 13:00:00
"Mljet-Malo jezero";28;2017-07-25 13:00:00
"Pula";NA;2017-07-25 13:00:00
"Rab";26;2017-07-25 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-25 13:00:00
"Split";26;2017-07-25 13:00:00
"Šibenik";NA;2017-07-25 13:00:00
"Zadar";25,7;2017-07-25 13:00:00
"Postaja \ Termin mjerenja (h)";15;2017-07-25 14:00:00
"Božava";NA;2017-07-25 14:00:00
"Crikvenica";25,5;2017-07-25 14:00:00
"Dubrovnik";25,4;2017-07-25 14:00:00
"Hvar";NA;2017-07-25 14:00:00
"Komiža";NA;2017-07-25 14:00:00
"Krk";NA;2017-07-25 14:00:00
"Malinska";25,1;2017-07-25 14:00:00
"Mali Lošinj";25;2017-07-25 14:00:00
"Mljet-otvoreno more";24,9;2017-07-25 14:00:00
"Mljet-Malo jezero";28;2017-07-25 14:00:00
"Pula";NA;2017-07-25 14:00:00
"Rab";NA;2017-07-25 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-25 14:00:00
"Split";NA;2017-07-25 14:00:00
"Šibenik";NA;2017-07-25 14:00:00
"Zadar";25,8;2017-07-25 14:00:00
"Postaja \ Termin mjerenja (h)";17;2017-07-25 16:00:00
"Božava";NA;2017-07-25 16:00:00
"Crikvenica";25,7;2017-07-25 16:00:00
"Dubrovnik";25,8;2017-07-25 16:00:00
"Hvar";NA;2017-07-25 16:00:00
"Komiža";NA;2017-07-25 16:00:00
"Krk";NA;2017-07-25 16:00:00
"Malinska";25,3;2017-07-25 16:00:00
"Mali Lošinj";25,2;2017-07-25 16:00:00
"Mljet-otvoreno more";25,3;2017-07-25 16:00:00
"Mljet-Malo jezero";28;2017-07-25 16:00:00
"Pula";NA;2017-07-25 16:00:00
"Rab";NA;2017-07-25 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-07-25 16:00:00
"Split";NA;2017-07-25 16:00:00
"Šibenik";NA;2017-07-25 16:00:00
"Zadar";25,7;2017-07-25 16:00:00
